# x_m,y_m,w_tr_right_m,w_tr_left_m
89.836476,-82.710812,6.825,7.175
89.890747,-83.690592,6.834,7.166
89.945071,-84.669268,6.843,7.157
89.998446,-85.647553,6.853,7.147
90.049874,-86.626163,6.862,7.138
90.098354,-87.605812,6.871,7.129
90.142888,-88.587213,6.880,7.120
90.182476,-89.571082,6.889,7.111
90.216117,-90.558133,6.898,7.102
90.242813,-91.549080,6.908,7.092
90.261564,-92.544638,6.917,7.083
90.271369,-93.545521,6.926,7.074
90.271231,-94.552444,6.935,7.065
90.260206,-95.566089,6.944,7.056
90.238885,-96.586331,6.953,7.047
90.209485,-97.612176,6.963,7.037
90.174307,-98.642592,6.972,7.028
90.135650,-99.676543,6.981,7.019
90.095813,-100.712995,6.990,7.010
90.057096,-101.750916,6.999,7.001
90.021798,-102.789269,7.008,6.992
89.992218,-103.827022,7.018,6.982
89.970656,-104.863139,7.027,6.973
89.959411,-105.896588,7.036,6.964
89.960783,-106.926334,7.045,6.955
89.977071,-107.951342,7.054,6.946
90.010573,-108.970579,7.063,6.937
90.063591,-109.983010,7.072,6.928
90.138422,-110.987602,7.082,6.918
90.237367,-111.983319,7.091,6.909
90.362724,-112.969129,7.100,6.900
90.516793,-113.943997,7.109,6.891
90.701874,-114.906888,7.143,6.857
90.920266,-115.856769,7.243,6.757
91.174268,-116.792606,7.342,6.658
91.466029,-117.713425,7.442,6.558
91.795488,-118.619145,7.541,6.459
92.160895,-119.510366,7.633,6.367
92.560460,-120.387706,7.585,6.415
92.992394,-121.251781,7.537,6.463
93.454904,-122.103209,7.488,6.512
93.946201,-122.942606,7.440,6.560
94.464494,-123.770591,7.391,6.609
95.007992,-124.587779,7.343,6.657
95.574905,-125.394788,7.294,6.706
96.163443,-126.192235,7.265,6.735
96.771813,-126.980737,7.270,6.730
97.398227,-127.760911,7.275,6.725
98.040893,-128.533375,7.281,6.719
98.698021,-129.298744,7.286,6.714
99.367821,-130.057638,7.291,6.709
100.048500,-130.810671,7.296,6.704
100.738270,-131.558463,7.301,6.699
101.435340,-132.301629,7.306,6.694
102.137918,-133.040787,7.311,6.689
102.844214,-133.776553,7.316,6.684
103.552438,-134.509546,7.321,6.679
104.260923,-135.240348,7.326,6.674
104.969078,-135.969242,7.331,6.669
105.676871,-136.696361,7.336,6.664
106.384273,-137.421832,7.341,6.659
107.091256,-138.145785,7.346,6.654
107.797791,-138.868349,7.352,6.648
108.503850,-139.589653,7.357,6.643
109.209405,-140.309825,7.362,6.638
109.914426,-141.028995,7.367,6.633
110.618886,-141.747293,7.372,6.628
